"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Moved; within same county!!Estimate","United States!!Moved; within same county!!Margin of Error","United States!!Moved; from different county, same state!!Estimate","United States!!Moved; from different county, same state!!Margin of Error","United States!!Moved; from different  state!!Estimate","United States!!Moved; from different  state!!Margin of Error","United States!!Moved; from abroad!!Estimate","United States!!Moved; from abroad!!Margin of Error"
"            Native Hawaiian and Other Pacific Islander","654,156","±21,743","8.9%","±1.1","3.6%","±0.5","2.8%","±0.6","2.0%","±0.6"
"            Some other race","24,520,032","±156,039","6.5%","±0.2","2.6%","±0.1","1.4%","±0.1","1.6%","±0.1"
"        Two or more races","42,003,827","±173,115","6.9%","±0.1","3.0%","±0.1","2.2%","±0.1","1.1%","±0.1"
"        Hispanic or Latino origin (of any race)","64,171,523","±22,731","6.8%","±0.1","2.8%","±0.1","1.7%","±0.1","1.3%","±0.1"
"        White alone, not Hispanic or Latino","189,723,148","±62,345","5.3%","±0.1","3.0%","±0.1","2.4%","±0.1","0.3%","±0.1"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","","","",""
"        Native","283,586,721","±185,790","6.0%","±0.1","3.2%","±0.1","2.3%","±0.1","0.3%","±0.1"
"        Foreign born","47,797,088","±189,849","6.1%","±0.1","2.3%","±0.1","2.0%","±0.1","3.5%","±0.1"
"            Naturalized U.S. citizen","24,961,134","±100,909","4.3%","±0.1","1.9%","±0.1","1.6%","±0.1","0.4%","±0.1"
"            Not a U.S. citizen","22,835,954","±181,624","8.0%","±0.2","2.7%","±0.1","2.3%","±0.1","7.0%","±0.1"
"MARITAL STATUS","","","","","","","","","",""
"    Population 15 years and over","275,577,890","±36,204","5.9%","±0.1","3.2%","±0.1","2.4%","±0.1","0.7%","±0.1"
"        Never married","94,698,809","±194,347","8.7%","±0.1","5.1%","±0.1","3.4%","±0.1","1.0%","±0.1"
"        Now married, except separated","132,656,434","±296,858","3.9%","±0.1","1.9%","±0.1","1.8%","±0.1","0.7%","±0.1"
"        Divorced or separated","33,199,553","±118,322","6.9%","±0.1","3.2%","±0.1","2.1%","±0.1","0.5%","±0.1"
"        Widowed","15,023,094","±58,205","4.3%","±0.1","1.9%","±0.1","1.3%","±0.1","0.4%","±0.1"
"EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"    Population 25 years and over","231,791,117","±66,347","5.3%","±0.1","2.6%","±0.1","2.0%","±0.1","0.7%","±0.1"
"        Less than high school graduate","23,698,453","±127,332","5.6%","±0.1","2.7%","±0.1","1.1%","±0.1","1.1%","±0.1"
"        High school graduate (includes equivalency)","60,105,924","±181,251","5.4%","±0.1","2.5%","±0.1","1.5%","±0.1","0.5%","±0.1"
"        Some college or associate's degree","64,170,652","±132,085","5.3%","±0.1","2.5%","±0.1","1.8%","±0.1","0.4%","±0.1"
"        Bachelor's degree","50,567,878","±169,592","5.4%","±0.1","2.8%","±0.1","2.7%","±0.1","0.8%","±0.1"
"        Graduate or professional degree","33,248,210","±160,589","5.0%","±0.1","2.5%","±0.1","3.0%","±0.1","0.9%","±0.1"
"INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2023 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","",""
"    Population 15 years and over","275,577,890","±36,204","5.9%","±0.1","3.2%","±0.1","2.4%","±0.1","0.7%","±0.1"
"        $1 to $9,999 or loss","31,797,047","±98,322","6.6%","±0.1","4.7%","±0.1","3.2%","±0.1","1.2%","±0.1"
"        $10,000 to $14,999","18,969,507","±75,216","6.3%","±0.1","3.2%","±0.1","2.2%","±0.1","0.7%","±0.1"
"        $15,000 to $24,999","29,241,482","±109,760","6.4%","±0.1","3.0%","±0.1","2.3%","±0.1","0.6%","±0.1"
"        $25,000 to $34,999","26,976,058","±98,458","6.6%","±0.1","3.0%","±0.1","2.3%","±0.1","0.5%","±0.1"
"        $35,000 to $49,999","35,047,558","±105,449","6.6%","±0.1","3.1%","±0.1","2.2%","±0.1","0.4%","±0.1"
"        $50,000 to $64,999","27,733,601","±112,469","5.9%","±0.1","3.0%","±0.1","2.3%","±0.1","0.4%","±0.1"
"        $65,000 to $74,999","13,053,715","±70,075","5.6%","±0.1","2.7%","±0.1","2.3%","±0.1","0.4%","±0.1"
"        $75,000 or more","58,351,432","±156,673","4.8%","±0.1","2.4%","±0.1","2.4%","±0.1","0.4%","±0.1"
"        Median income (dollars)","40,364","±59","36,189","±171","33,877","±508","37,810","±700","23,700","±820"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","","","","","","","",""
"    Population 1 year and over for whom poverty status is determined","323,637,110","±45,485","5.9%","±0.1","2.7%","±0.1","2.1%","±0.1","0.7%","±0.1"
"        Below 100 percent of the poverty level","40,183,505","±272,474","9.2%","±0.1","3.9%","±0.1","2.5%","±0.1","1.8%","±0.1"
"        100 to 149 percent of the poverty level","24,135,802","±199,618","7.6%","±0.2","3.0%","±0.1","1.9%","±0.1","0.9%","±0.1"
"        At or above 150 percent of the poverty level","259,317,803","±371,576","5.2%","±0.1","2.5%","±0.1","2.1%","±0.1","0.5%","±0.1"
"HOUSING TENURE","","","","","","","","","",""
"    Population 1 year and over in housing units","323,172,848","±36,479","5.8%","±0.1","2.7%","±0.1","2.1%","±0.1","0.7%","±0.1"
"        Householder lived in owner-occupied housing units","221,900,808","±529,744","3.2%","±0.1","1.7%","±0.1","1.3%","±0.1","0.3%","±0.1"
"        Householder lived in renter-occupied housing units","101,272,040","±529,133","11.6%","±0.1","4.6%","±0.1","3.8%","±0.1","1.5%","±0.1"
"PERCENT ALLOCATED","","","","","","","","","",""
"    Residence 1 year ago","11.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
